1001,SEPTEMBER,330,0,17/09/2024,150,25.5,150,325.5,01/10/2024,PAID,17/09/2024
1002,SEPTEMBER,530,120,17/09/2024,805,115.0,250,1170.0,01/10/2024,PAID,17/10/2024
1007,SEPTEMBER,650,130,17/09/2024,870,135.5,250,1255.5,01/10/2024,PAID,17/10/2024
1008,SEPTEMBER,100,58,17/09/2024,3250,650.00000968575478000,250,4150.00000968575478000,01/10/2024,PAID,17/09/2024
1008,OCTOBER,300,0,14/10/2024,3600,720.00001072883606400,250,4570.00001072883606400,28/10/2024,PAID,17/10/2024
1002,OCTOBER,300,150,16/10/2024,6380,1276.00001901388169120,250,7906.00001901388169120,30/10/2024,PAID,17/10/2024
1003,OCTOBER,300,100,17/10/2024,1400,0.0,45,1445.0,31/10/2024,PAID,17/10/2024
1007,OCTOBER,250,200,17/10/2024,5900,590.00000879168510800,20,6510.00000879168510800,31/10/2024,PAID,19/10/2024
1006,OCTOBER,200,5,19/10/2024,975,146.25000581145286800,5,1126.25000581145286800,02/11/2024,PAID,29/10/2024
1001,OCTOBER,200,0,29/10/2024,940,47.00000070035457640,4,991.00000070035457640,12/11/2024,UNPAID,-
1005,OCTOBER,200,200,29/10/2024,1000,50.00000074505806000,4,1054.00000074505806000,12/11/2024,UNPAID,-
